108 STOP PHARMACY,"13444 108 Ave Surrey, BC V3T 2K1 CANADA",604-957-0711,604-953-1700
360CARE DENMAN PHARMACY,"683 Denman St Vancouver, BC V6G 2L3 CANADA",604-683-6933,604-683-6968
49TH PARALLEL PHARMACY,"15229 Russell Ave White Rock, BC V4B 5C3 CANADA",778-294-7737,778-294-8847
AARONSON'S PHARMACY COOK ST.-LTD.,"1711 Cook St. Victoria, BC V8T 3P2 CANADA",250-383-6511,250-383-1353
ABBOTSFORD PHARMACY,"104 - 2596 McMillan Rd Abbotsford, BC V3G 1C4 CANADA",778-314-1014,778-314-1016
ABBY PHARMACY,"#100 - 2845 Cruickshank Street Abbotsford, BC V2T 6X1 CANADA",604-504-0060,604-504-0616
ACCURX DRUGSTORE 001,"106 - 1849 Dufferin Crescent Nanaimo, BC V9S 0B1 CANADA",250-591-2912,250-591-2914
ACKROYD PHARMACY,"160 - 8100 Ackroyd Rd Richmond, BC V6X 3K2 CANADA",604-207-9972,604-207-9080
AGASSIZ PHARMACY,"PO Box 37 7046 Pioneer Ave Agassiz, BC V0M 1A0 CANADA",604-491-1070,604-491-1071
ALBERTO PHARMACY # 1,"2516 Commercial Dr Vancouver, BC V5N 4C2 CANADA",604-873-4111,604-873-6734
ALBERTO PHARMACY NO. 2,"#101 - 2620 Commercial Dr Vancouver, BC V5N 4C4 CANADA",604-879-8481,604-879-8482
ALDERGROVE COMMUNITY PHARMACY,"27105 Fraser Hwy Aldergrove, BC V4W 3R2 CANADA",604-607-7404,604-607-7454
ALDERGROVE PHARMACHOICE,"#120 - 3113 272 St Aldergrove, BC V4W 3R9 CANADA",604-625-3784,604-625-3785
ALERT BAY DRUGS,"90 Fir Street Box 306 Alert Bay, BC V0N 1A0 CANADA",250-974-5712,250-974-2199
ALL CURE PHARMACY,"101 - 12827 76 Ave Surrey, BC V3W 2V3 CANADA",778-592-2500,778-592-2501
ALOUETTE PHARMACY,"8 - 11937 227 St Maple Ridge, BC V2X 6J4 CANADA",604-467-3784,604-467-3714
ALPINE DRUG MART IDA,"2060 Columbia Ave. Box 940 Rossland, BC V0G 1Y0 CANADA",250-362-5622,250-362-5151
ANCHOR COMPOUNDING PHARMACY,"105 - 1450 Waddington Rd Nanaimo, BC V9S 4V9 CANADA",250-591-4411,250-591-4011
ANDERSON'S PHARMACY NO. 1,"127 3rd St W North Vancouver, BC V7M 1E7 CANADA",604-988-5271,604-998-1271
ANDREEN'S PHARMACY,"101 - 879 Anders Road West Kelowna, BC V1Z 1K2 CANADA",250-769-2014,250-769-2054
APEX PHARMACY,"Unit 1A - 32943 Marshall Rd Abbotsford, BC V2S 1J8 CANADA",604-870-0171,604-870-0172
ARGYLE PHARMACY,"3054 3rd Avenue Port Alberni, BC V9Y 2A5 CANADA",778-421-3333,778-421-1919
ARMSTRONG PHARMACY AND WELLNESS CENTRE,"#5 - 3300 Smith Drive Armstrong, BC V0E 1B1 CANADA",250-546-3195,250-546-3894
ASHCROFT IDA PHARMACY,"400 - 210 Railway Ave. Box 1060 Ashcroft, BC V0K 1A0 CANADA",250-453-2553,250-453-2404
ASKEW'S PHARMACY,"2701 11 Ave NE Salmon Arm, BC V1E 2S3 CANADA",250-832-7655,250-832-7656
ASPEN REMEDY'SRX PHARMACY,"102 - 2099 152 St Surrey, BC V4A 4N7 CANADA",604-560-2720,604-560-2722
ASTRAL I.D.A. PHARMACY,"111 - 3101 Highway 6 Vernon, BC V1T 9H6 CANADA",250-541-1999,250-541-1777
ATLAS DRUG MART,"713A Goldstream Ave Victoria, BC V9B 2X4 CANADA",250-391-2964,250-391-2911
BAINS PHARMACY LTD.,"8681 120 St Delta, BC V4C 6R4 CANADA",604-543-0911,604-507-0988
BALANCED HEALTH INTEGRATIVE PHARMACY,"135 Lonsdale Ave North Vancouver, BC V7M 2E7 CANADA",604-971-4075,604-971-4074
BARNET PHARMACY,"3-2773 Barnet Hwy Coquitlam, BC V3B 1C2 CANADA",604-468-4038,604-468-4091
BAY PHARMACY,"6355 Bruce St West Vancouver, BC V7W 2G5 CANADA",604-305-0330,604-281-0330
BAYSHORE PHARMACY,"7313 Meadow Ave Burnaby, BC V5J 4Z2 CANADA",1-855-237-2473,1-855-233-3146
BC DRUGS PHARMACY,"9618 Cameron St Burnaby, BC V3J 1M2 CANADA",604-422-8216,604-422-8221
